dataset,vocab_size,embedding,net,hidden_size,num_layers,dropout,bidirectional,attention,type,epoch,time,speed,loss_mean,loss_std,precision,recall,f1-score,accuracy
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,6,14.965794801712036,26.12624355609038,0.6149575754504679,0.040754579920075494,0.6574634902870501,0.6574,0.6573654618903433,0.6574
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,6,10.068760871887207,38.83298103659444,0.6169241701855379,0.05133639324747265,0.6557046543573195,0.65556,0.6554799826076084,0.65556
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,7,14.554473400115967,26.864592709818314,0.5685848207272532,0.060775753924376244,0.7059397970089633,0.70588,0.7058586481616134,0.70588
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,7,9.887418270111084,39.54520677879719,0.6300166083495026,0.335853536424984,0.734608348093829,0.6762,0.6547089944477393,0.6762
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,8,14.61092472076416,26.760797654670995,0.5278399182707453,0.07029254615439579,0.7484458534512002,0.74816,0.7480875394968008,0.74816
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,8,9.993274927139282,39.12631273038831,0.5151881769185176,0.08395605619022499,0.7625756015936151,0.76232,0.762262144115392,0.76232
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,train,9,14.325697422027588,27.293610110652455,0.5300421743746608,0.08365423655297793,0.7473821496298446,0.7452,0.7446368625862687,0.7452
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,0,test,9,9.909785747528076,39.45594889349975,0.5203518445991799,0.09158067151010026,0.7570246053525486,0.75684,0.7567963303490775,0.75684
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,train,0,17.02508783340454,22.96610765395452,0.621917319343523,0.08317010339194693,0.6744637337366153,0.6738,0.6734894539912321,0.6738
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,test,0,10.665082216262817,36.6616958098811,0.5524051043078723,0.25902752833909115,0.7477632794873859,0.72856,0.7231964777995906,0.72856
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,train,1,17.8003351688385,21.965878523708344,0.4954961250200296,0.07396368224400265,0.7623273132657702,0.76232,0.7623183434539267,0.76232
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,test,1,10.398921012878418,37.60005480527939,0.5372874699247158,0.32426538644462777,0.7753189201468992,0.7276,0.7152621418644991,0.7276
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,train,2,17.533101081848145,22.30067562918454,0.4533908061511681,0.06904923679393632,0.794002902785193,0.79396,0.7939524830569059,0.79396
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,test,2,10.443203687667847,37.44061800324008,0.4405519719166524,0.18850680915031073,0.8042717207620197,0.79264,0.7906391345238936,0.79264
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,train,3,17.654274702072144,22.147610513509626,0.41588694680377347,0.06957105537673848,0.8119327767665364,0.81192,0.8119180740410782,0.81192
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,test,3,10.169123649597168,38.44972423120146,0.38052466805176355,0.08385169638825504,0.8374785830899193,0.83696,0.8368973424830881,0.83696
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,train,4,16.064727783203125,24.339036756590406,0.3875703996099779,0.07439219998081989,0.8284544814267043,0.82844,0.8284381089762124,0.82844
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,test,4,10.475066661834717,37.326731430224235,0.38793905708186155,0.17000825344677742,0.8393125004009527,0.82632,0.8246413502862225,0.82632
IMDB,50000,glove.6B.300d,RNN,64,1,0.0,0,1,train,5,16.81569242477417,23.252090376245746,0.3418151719871994,0.06411469672259466,0.8536117319885992,0.8536,0.853598785689768,0.8536
